cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
18291271,2020,3162293,10722101,24840,5589233,2119378,0,11959746,0,9676469,9847499,9746691,100808,0,58687,0,17
18294413,2020,1103344,1571410,1464304,62403,2823196,0,-302136,0,293675,298171,391641,0,93470,0,96165,5
18309735,2020,16593862,1691868,1434830,147595,40680002,0,-25369058,0,1225,1700201,7466802,0,5766601,0,5766601,18
18310039,2020,2022468,1500462,153298,1157155,4742890,0,-546442,0,5763620,5858826,7917165,0,2058339,0,2058339,89
18328389,2020,75843,27879,565,5226,214221,0,-110499,0,238761,239353,279249,0,39896,0,42182,1
18348246,2020,22800,9496,233,8953,115925,0,-83629,0,299367,392259,432367,0,40108,0,40108,8
18353323,2020,88959,1653928,219042,59544,25670,0,1717217,0,1795265,1796068,1488824,307244,0,290885,0,1
18402280,2020,144769,368971,103182,105317,112738,0,402049,0,445827,446888,392273,54615,0,48149,0,1
18412322,2020,4188317,3614843,225289,3335302,3597753,0,4129074,0,8714999,8818330,7887339,930991,0,773598,0,35
18415434,2020,0,1227571,946886,236895,1719646,0,-492075,0,102595,105994,79512,26482,0,23302,0,1
18415477,2020,1718470,1918664,785499,837276,2847391,0,809044,0,7791550,8092428,8473985,0,381557,0,381557,41
18425241,2020,956964,1807553,126639,1299217,2133172,0,631345,0,5606911,5636781,4881916,754865,0,631057,0,32
18429197,2020,12192913,57257825,227913,53342639,18060208,26005309,25463795,0,56458420,57734895,49930771,7804124,0,6161279,0,80
18431260,2020,29750,105101,26395,21021,12060,0,122791,0,535095,535096,495677,39419,0,34068,0,1
18433082,2020,921294,779633,147271,336192,202047,0,1498880,0,1228187,1228187,1021037,207150,0,194868,0,8
18485421,2020,10925578,2723577,662869,404613,5005634,0,7966913,0,6149489,6533581,6322134,211447,0,178363,0,28
18491202,2020,0,0,0,0,653949,0,-653949,0,0,0,0,0,0,0,0,0
18496803,2020,6770577,2248290,215066,1407822,3405199,0,2216292,0,4539930,5036611,4567729,468882,0,390142,0,33
18499826,2020,11942,-9218,0,19993,37627,0,-34903,0,12515,80688,171273,0,90585,0,90585,1
18515913,2020,0,206044,55158,134495,32411,0,153633,0,1321607,1324449,1138491,185958,0,174408,0,2
18535376,2020,781,39363,0,25000,466,0,39678,0,45030,45030,4416,40614,0,39438,0,0
18539700,2020,0,10936,0,0,27378385,0,-27367449,0,0,5,0,5,0,5,0,0
18543310,2020,24359,40963,16592,986,4393,0,60929,0,308350,308350,306951,1399,0,0,561,1
18562206,2020,367933,552919,178009,351702,2384101,0,-1416191,0,0,1909,3925,0,2016,0,2016,0
18564290,2020,307967,1404675,336829,1066504,1307758,0,1008465,0,0,45330,52547,0,7217,0,7217,0
18573060,2020,58745,224511,1104,37990,65357,0,217899,0,479049,481297,514793,0,33496,0,38309,0
18578920,2020,183779,468425,9441,349188,161263,0,490941,0,1283823,1303706,970285,333421,0,321481,0,5
18581801,2020,0,76698,7116,2383,481,0,76742,0,291309,291309,261026,30283,0,27767,0,1
18591988,2020,1957,81476,1324,76671,391091,0,-307658,0,12876,12876,20912,0,8036,0,8422,1
18595041,2020,694,15285,14590,0,46838,0,-30859,0,5520,5520,16112,0,10592,0,10647,2
18595564,2020,41847,1430793,2683,1425449,2077316,0,-604676,0,0,1045,472792,0,471747,0,471747,1
18604840,2020,0,53824,9702,0,32835,0,20989,0,18583,18583,1983,16600,0,16042,0,0
18626873,2020,212051,19883,0,19866,24286,0,207648,0,0,0,745,0,745,0,745,0
